It99a9c2731b7c1fcd64d09cac8ce92039	王女のダイヤモンド	ハート・ブリリアントカット	61153	Atk	2
Itb690e0625f223b78af7570b575ad4b15	秘密のアメジスト	ハート・ブリリアントカット	46718	Hp	-4
It4fd61ca5560ccc846bde57a567ab4214	アクアマリン	レイディエントカット	21785	Exp	-7
Ita5ed4b3fca24962e36e01ce987ab6a4a	血塗られたダイヤモンド	レイディエントカット	21877	Agi	-4
Itc6c16e8d8d23c1a03d6d968497a4ef51	秘密のアメジスト	フランダースカット	47540	Agi	5
It9bbea9907d762c21a600fb8027633954	殺戮のエメラルド	オーバル・ブリリアントカット	32912	Int	-7
Itb7a82e2c91b5d3089a612e8c00b30d6a	秘密のルビー	オールドマイン・ブリリアントカット	32732	Mp	0
It949f502620c1276ad127d0d992829c55	サファイア	ラウンド・ブリリアントカット	45865	Int	7
Ita8bcc229aa4f836751134708b67c1a88	王妃のアメジスト	バリオンカット	64494	Agi	-6
Itc9cc94a3403528f7242e042af897bdd8	伝説のトパーズ	フランダースカット	23558	Agi	-6
Itc7dc83cbc95297377be6d409ee763bd1	怪奇のルビー	オールドマイン・ブリリアントカット	25248	Atk	-8
It695e9c872a99c4835e7f66d39a5b1315	秘密のアメジスト	エメラルドカット	17113	Hp	8
Itd16661d420a8c89f988a78e2c78186ed	伝説のルビー	ラウンド・ブリリアントカット	42786	Int	6
It429bb627afde70e36e258bcc16b16cb5	伝説のルビー	ラウンド・ブリリアントカット	34987	Agi	-6
It186288ab5d95928f77ecc27851f69fb7	王妃のアクアマリン	オールドマイン・ブリリアントカット	49940	Def	-7
It243e82e2a4159e4e62147dd7ba81d745	怪奇のアメジスト	バリオンカット	15983	Hp	-2
It596bb1a1647c7cd0ee42ad3326595a3b	怪奇のエメラルド	マルキーズ・ブリリアントカット	60192	Atk	1
It53121dc820a5f01928776b75ee7372e1	怪奇のアクアマリン	ペアシェイプ・ブリリアントカット	22977	Exp	3
Itea1a4ad08d9bc293ffd43093e2d34fbc	伝説のルビー	ペアシェイプ・ブリリアントカット	6185	Def	-3
It9d0621cdc8832a0048998daddababcc9	王妃のルビー	オーバル・ブリリアントカット	57845	Int	-6
Itd314196718beef9a3ba1b56024bb3794	怪奇のルビー	ペアシェイプ・ブリリアントカット	37794	Atk	-8
Itf92355311b494856c144c0c9c16c211a	王族のエメラルド	オーバル・ブリリアントカット	34068	Int	-4
Itcfcda7458978103ac49078c761408388	王子のアメジスト	ハート・ブリリアントカット	52099	Agi	7
It2460aac471e48a04244612b02879e373	秘密のエメラルド	ハート・ブリリアントカット	3771	Int	-4
It15afeb33444b13fc75da24e7e1606e72	怪奇のアメジスト	マルキーズ・ブリリアントカット	48205	Mp	-1
It8b32b7ef892d38a9b82c774513b1c01b	アメジスト	フランダースカット	43435	Atk	2
Ite59d749f6bf64ce97a2054c60239a1b1	秘密のサファイア	スクウェアステップカット	49396	Exp	-9
Itee3a2f1c457712d3f255bd57d49d281d	王族のアクアマリン	オーバル・ブリリアントカット	43974	Exp	7
Itb8c94566fd4d1e2536b72ce73bf0b103	王族のエメラルド	バリオンカット	31839	Hp	-3
It5248598548fd95072e4a9d92f71a412a	王族のアクアマリン	バゲットカット	50636	Atk	1
It7bee5074daebbb541e6c9c4d081ef104	血塗られたエメラルド	ハート・ブリリアントカット	64162	Atk	0
Itec8e75b0069971fc69716c01d0cda136	殺戮のトパーズ	ペアシェイプ・ブリリアントカット	18980	Hp	-8
Itfe696c6109e38a37e2414f7c20856c35	血塗られたアクアマリン	フランダースカット	50501	Atk	-1
Itf3618fdb4b70e449da797f5bf61092d6	王族のダイヤモンド	スクウェアステップカット	32622	Agi	-10
It628ee71d3318a6fb8a098a71ecbc5eaa	怪奇のサファイア	バリオンカット	31684	Int	1
Itf67c82fda704526db2407bbea11dd2b2	伝説のルビー	エメラルドカット	46126	Atk	-10
It4e112e4aecfdfe7e77c97df522a5cee6	王妃のルビー	オーバル・ブリリアントカット	55223	Exp	6
It011f9425b536d2954169a4a80bd7374b	秘密のルビー	マルキーズ・ブリリアントカット	32826	Hp	5
It8b0512e696aaa51a97f4a7199cceda31	王族のアクアマリン	エメラルドカット	38134	Def	-8
It6f3ee2e082fb3b699fc17ffdf802ea3d	血塗られたダイヤモンド	プリンセスカット	25119	Hp	0
Itf860218f5d83e8812bc1787774140f8a	秘密のアメジスト	オーバル・ブリリアントカット	37535	Def	-8
Itd972d0e5f49c7b93d724813b6a86ee59	王子のルビー	スクウェアステップカット	37100	Int	0
It8500c7affaf9a88a81cdf0ae778ed45d	王子のアメジスト	スクウェアステップカット	39290	Def	9
It10080a6f289c2c376f7ca2311782c69b	血塗られたアクアマリン	バゲットカット	14362	Atk	0
It15d983bd00ed17f4adf6e06bef8b08e0	殺戮のダイヤモンド	バリオンカット	43075	Int	9
Itbb2342ae86516ec9651c51b6d7584fc8	怪奇のルビー	オールドマイン・ブリリアントカット	7432	Mp	-5
Itd930cdbddcdbd7b8b0f7499e3f3f909e	王族のトパーズ	オールドマイン・ブリリアントカット	9919	Int	8
It1233733ff2e1cdc9d46bf82771f7ee6b	秘密のサファイア	エメラルドカット	24476	Mp	-7
Ite9a597320acac38a22ec73e4c3755e36	王族のアクアマリン	レイディエントカット	49006	Int	1
Itc1267e65feb435b2c61f3f4a347a202f	殺戮のアメジスト	ハート・ブリリアントカット	39137	Exp	-5
Itf74e64d8b6769539f46232431f1aa211	伝説のダイヤモンド	レイディエントカット	42291	Agi	0
It223e36e2bcb4743eac663ea07cac10f5	秘密のダイヤモンド	オーバル・ブリリアントカット	14943	Def	-1
Itbd7d53b47faef6c2c9623b033dc127a5	王女のサファイア	プリンセスカット	43901	Mp	-8
